Location,Level,Job Type,Contract Type,Experience,Tech Stacks,Salary,Time
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,5 years,"PHP, Full-Stack, Web Application",Up to 1.500 USD,1 week ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"Automation Tester, Mobile Tester, Automation QC",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,2 years,"JavaScript, Game, Front-End",Negotiable,1 week ago
 Thành phố Hà Nội,Senior,Remote,Fulltime,4 years,"Magento, VueJS, Shopify",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"Java, Back-End, Java Spring",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,3 years,"Product Manager, Product Owner",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Junior,In Office,Fulltime,2 years,Business Analyst,500 USD to 1.000 USD,1 week ago
 Thành phố Hồ Chí Minh,"Manager, Leader",In Office,Fulltime,8 years,"System Admin, Git, IT Manager",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,4 years,"Java, SQL, Java EE",800 USD to 1.800 USD,1 week ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,2 years,"Linux, MySQL, Golang",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"PHP, MySQL, Laravel",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,3 years,"NoSQL, Data Engineer, Spark",30.000.000 VND to 39.000.000 VND,1 week ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"Java, JavaScript, Golang",20.000.000 VND to 50.000.000 VND,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"Business Analyst, Oracle Database, Oracle SQL",Up to 2.500 USD,1 week ago
 Thành phố Hà Nội,"Junior, Middle",In Office,Fulltime,1 year,"UX/UI Design, Photoshop, Sketch",Negotiable,1 week ago
 Thành phố Hà Nội,"Manager, Leader",In Office,Fulltime,5 years,"Data Science, Data Engineer, Data Analyst",Negotiable,1 week ago
